T,H,D,kv_len,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
128,16,512,136,8,1,0.0009765625,5.490051626111381e-05,51.3400009367615,51.124999299645424,51.96644924581051
128,16,512,136,16,1,0.0009765625,5.357664485927671e-05,53.146498976275325,52.79949982650578,53.38795017451048
128,16,512,388,1,1,0.00048828125,3.574316360754892e-05,60.49795192666352,60.428501456044614,60.7259979005903
128,16,512,388,2,1,0.00048828125,3.525410284055397e-05,52.51849943306297,51.58349813427776,52.708000293932855
128,16,512,388,4,1,0.00048828125,3.470659430604428e-05,54.03700051829219,53.984951227903366,54.11849997472018
128,16,512,388,8,1,0.00048828125,3.419724089326337e-05,57.39495099987835,57.35149898100644,57.82300140708685
128,16,512,388,16,1,0.00048828125,3.331685729790479e-05,74.71994904335588,74.65099915862083,74.9250000808388
128,16,512,1024,1,1,0.00048828125,2.2988890123087913e-05,141.79099816828966,141.64544991217554,142.02744932845235
128,16,512,1024,2,1,0.00048828125,2.2816922864876688e-05,89.2569514689967,88.97195220924914,89.65349989011884
128,16,512,1024,4,1,0.00048828125,2.2543814338860102e-05,93.21944962721318,93.10900059062988,93.62249984405935
128,16,512,1024,8,1,0.00048828125,2.2248785171541385e-05,103.619450237602,103.47900097258389,103.78849983680993
128,16,512,1024,16,1,0.00048828125,2.181806121370755e-05,118.38545033242553,118.09450224973261,118.4579508844763
